website,page_category,page_url
lancome.com,Makeup,https://www.lancome.com/us/en/makeup/face-makeup/foundation/
lancome.com,Makeup,https://www.lancome.com/us/en/makeup/eye-makeup/mascara/
lancome.com,Makeup,https://www.lancome.com/us/en/makeup/lip-makeup/lipstick/
lancome.com,Skincare,https://www.lancome.com/us/en/skincare/by-category/serums/
lancome.com,Skincare,https://www.lancome.com/us/en/skincare/by-category/moisturizers/
lancome.com,Skincare,https://www.lancome.com/us/en/skincare/by-category/eye-care/
lancome.com,Fragrance,https://www.lancome.com/us/en/fragrance/womens-fragrance/
lancome.com,Fragrance,https://www.lancome.com/us/en/fragrance/gift-sets/
maybelline.com,Makeup,https://www.maybelline.com/face-makeup/foundation
maybelline.com,Makeup,https://www.maybelline.com/eye-makeup/mascara
maybelline.com,Makeup,https://www.maybelline.com/lip-makeup/lipstick
maybelline.com,Makeup,https://www.maybelline.com/face-makeup/concealer
maybelline.com,Makeup,https://www.maybelline.com/eye-makeup/eyeshadow
maybelline.com,Makeup,https://www.maybelline.com/eye-makeup/eyeliner
maybelline.com,Makeup,https://www.maybelline.com/face-makeup/powder
kiehls.com,Skincare,https://www.kiehls.com/skincare/face-cleansers/
kiehls.com,Skincare,https://www.kiehls.com/skincare/moisturizers/
kiehls.com,Skincare,https://www.kiehls.com/skincare/facial-serums-treatments/
kiehls.com,Skincare,https://www.kiehls.com/skincare/eye-and-lip-care/
kiehls.com,Skincare,https://www.kiehls.com/skincare/face-masks/
kiehls.com,Body Care,https://www.kiehls.com/body/body-moisturizers-and-treatments/
kiehls.com,Hair Care,https://www.kiehls.com/hair/shampoos/
kiehls.com,Men's Care,https://www.kiehls.com/mens/mens-shaving/
